State,Year,Quarter,Brands,Count,Percentage,S.no
andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0.247032641,1
andaman-&-nicobar-islands,2018,1,Samsung,1445,0.214391691,2
andaman-&-nicobar-islands,2018,1,Vivo,982,0.145697329,3
andaman-&-nicobar-islands,2018,1,Oppo,501,0.074332344,4
andaman-&-nicobar-islands,2018,1,OnePlus,332,0.04925816,5
andaman-&-nicobar-islands,2018,1,Realme,316,0.046884273,6
andaman-&-nicobar-islands,2018,1,Apple,229,0.033976261,7
andaman-&-nicobar-islands,2018,1,Motorola,226,0.033531157,8
andaman-&-nicobar-islands,2018,1,Lenovo,202,0.029970326,9
andaman-&-nicobar-islands,2018,1,Huawei,158,0.023442136,10
andaman-&-nicobar-islands,2018,1,Others,684,0.10148368,11
andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0.24486975,12
andaman-&-nicobar-islands,2018,2,Samsung,1923,0.20446571,13
andaman-&-nicobar-islands,2018,2,Vivo,1523,0.161935141,14
andaman-&-nicobar-islands,2018,2,Oppo,708,0.075279107,15
andaman-&-nicobar-islands,2018,2,OnePlus,466,0.049548113,16
andaman-&-nicobar-islands,2018,2,Realme,465,0.049441786,17
andaman-&-nicobar-islands,2018,2,Motorola,319,0.033918129,18
andaman-&-nicobar-islands,2018,2,Apple,308,0.032748538,19
andaman-&-nicobar-islands,2018,2,Lenovo,244,0.025943647,20
andaman-&-nicobar-islands,2018,2,Huawei,230,0.024455077,21
andaman-&-nicobar-islands,2018,2,Others,916,0.097395003,22
andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0.242818339,23
andaman-&-nicobar-islands,2018,3,Samsung,2409,0.198287925,24
andaman-&-nicobar-islands,2018,3,Vivo,2063,0.169808215,25
andaman-&-nicobar-islands,2018,3,Oppo,988,0.081323566,26
andaman-&-nicobar-islands,2018,3,OnePlus,617,0.050786073,27
andaman-&-nicobar-islands,2018,3,Realme,603,0.049633715,28
andaman-&-nicobar-islands,2018,3,Motorola,390,0.032101408,29
andaman-&-nicobar-islands,2018,3,Apple,371,0.030537493,30
andaman-&-nicobar-islands,2018,3,Huawei,314,0.025845749,31
andaman-&-nicobar-islands,2018,3,Lenovo,299,0.024611079,32
andaman-&-nicobar-islands,2018,3,Others,1145,0.09424644,33
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.244317435,34
andaman-&-nicobar-islands,2018,4,Samsung,2936,0.192878728,35
andaman-&-nicobar-islands,2018,4,Vivo,2742,0.180134017,36
andaman-&-nicobar-islands,2018,4,Oppo,1268,0.083300486,37
andaman-&-nicobar-islands,2018,4,Realme,760,0.049927736,38
andaman-&-nicobar-islands,2018,4,OnePlus,721,0.047365655,39
andaman-&-nicobar-islands,2018,4,Motorola,474,0.031139141,40
andaman-&-nicobar-islands,2018,4,Apple,455,0.029890947,41
andaman-&-nicobar-islands,2018,4,Huawei,398,0.026146367,42
andaman-&-nicobar-islands,2018,4,Lenovo,377,0.024766785,43
andaman-&-nicobar-islands,2018,4,Others,1372,0.090132703,44
andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0.246074425,45
andaman-&-nicobar-islands,2019,1,Samsung,3567,0.191815444,46
andaman-&-nicobar-islands,2019,1,Vivo,3420,0.183910518,47
andaman-&-nicobar-islands,2019,1,Oppo,1600,0.086040009,48
andaman-&-nicobar-islands,2019,1,Realme,897,0.04823618,49
andaman-&-nicobar-islands,2019,1,OnePlus,855,0.04597763,50
andaman-&-nicobar-islands,2019,1,Motorola,561,0.030167778,51
andaman-&-nicobar-islands,2019,1,Apple,515,0.027694128,52
andaman-&-nicobar-islands,2019,1,Huawei,515,0.027694128,53
andaman-&-nicobar-islands,2019,1,Lenovo,426,0.022908152,54
andaman-&-nicobar-islands,2019,1,Others,1664,0.089481609,55
andaman-&-nicobar-islands,2019,2,Xiaomi,5296,0.243707146,56
andaman-&-nicobar-islands,2019,2,Samsung,4165,0.191661681,57
andaman-&-nicobar-islands,2019,2,Vivo,4102,0.188762597,58
andaman-&-nicobar-islands,2019,2,Oppo,1905,0.087662786,59
andaman-&-nicobar-islands,2019,2,Realme,1012,0.046569417,60
andaman-&-nicobar-islands,2019,2,OnePlus,950,0.04371635,61
andaman-&-nicobar-islands,2019,2,Huawei,644,0.029635084,62
andaman-&-nicobar-islands,2019,2,Motorola,630,0.028990843,63
andaman-&-nicobar-islands,2019,2,Apple,569,0.026183793,64
andaman-&-nicobar-islands,2019,2,Lenovo,477,0.021950209,65
andaman-&-nicobar-islands,2019,2,Others,1981,0.091160094,66
andaman-&-nicobar-islands,2019,3,Xiaomi,5819,0.243157411,67
andaman-&-nicobar-islands,2019,3,Vivo,4685,0.195771175,68
andaman-&-nicobar-islands,2019,3,Samsung,4508,0.188374911,69
andaman-&-nicobar-islands,2019,3,Oppo,2108,0.088086582,70
andaman-&-nicobar-islands,2019,3,Realme,1158,0.048389119,71
andaman-&-nicobar-islands,2019,3,OnePlus,1045,0.04366721,72
andaman-&-nicobar-islands,2019,3,Huawei,725,0.030295433,73
andaman-&-nicobar-islands,2019,3,Motorola,660,0.02757929,74
andaman-&-nicobar-islands,2019,3,Apple,630,0.026325686,75
andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183026,76
andaman-&-nicobar-islands,2019,3,Others,2110,0.088170156,77
andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.241101695,78
andaman-&-nicobar-islands,2019,4,Vivo,5190,0.199922958,79
andaman-&-nicobar-islands,2019,4,Samsung,4900,0.188751926,80
andaman-&-nicobar-islands,2019,4,Oppo,2329,0.089714946,81
andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194145,82
andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.043297381,83
andaman-&-nicobar-islands,2019,4,Huawei,798,0.030739599,84
andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186,85
andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103,86
andaman-&-nicobar-islands,2019,4,Lenovo,488,0.018798151,87
andaman-&-nicobar-islands,2019,4,Others,2183,0.084090909,88
andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.239812465,89
andaman-&-nicobar-islands,2020,1,Vivo,5880,0.207275804,90
andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064016,91
andaman-&-nicobar-islands,2020,1,Oppo,2557,0.090136774,92
andaman-&-nicobar-islands,2020,1,Realme,1511,0.053264241,93
andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.041737169,94
andaman-&-nicobar-islands,2020,1,Huawei,891,0.031408629,95
andaman-&-nicobar-islands,2020,1,Apple,735,0.025909475,96
andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204456,97
andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625494,98
andaman-&-nicobar-islands,2020,1,Others,2257,0.079561478,99
andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.238612045,100
andaman-&-nicobar-islands,2020,2,Vivo,7122,0.217731581,101
andaman-&-nicobar-islands,2020,2,Samsung,6030,0.184347294,102
andaman-&-nicobar-islands,2020,2,Oppo,2976,0.090981351,103
