State,District,Year,Quarter,Count,Amount,S.no
andaman-&-nicobar-islands,north and middle andaman district,2018,1,442,931663.0771,1
andaman-&-nicobar-islands,south andaman district,2018,1,5688,12560249.34,2
andaman-&-nicobar-islands,nicobars district,2018,1,528,1139848.801,3
andaman-&-nicobar-islands,north and middle andaman district,2018,2,825,1317863.083,4
andaman-&-nicobar-islands,south andaman district,2018,2,9395,23948235.52,5
andaman-&-nicobar-islands,nicobars district,2018,2,1120,3072436.908,6
andaman-&-nicobar-islands,north and middle andaman district,2018,3,1283,4901529.518,7
andaman-&-nicobar-islands,south andaman district,2018,3,13511,44268112.46,8
andaman-&-nicobar-islands,nicobars district,2018,3,1471,6387829.152,9
andaman-&-nicobar-islands,north and middle andaman district,2018,4,2137,7955635.918,10
andaman-&-nicobar-islands,south andaman district,2018,4,20136,75411840.8,11
andaman-&-nicobar-islands,nicobars district,2018,4,1485,7180859.355,12
andaman-&-nicobar-islands,north and middle andaman district,2019,1,3264,9561708.736,13
andaman-&-nicobar-islands,south andaman district,2019,1,25683,85501972.39,14
andaman-&-nicobar-islands,nicobars district,2019,1,1539,7236059.549,15
andaman-&-nicobar-islands,north and middle andaman district,2019,2,3371,8612103.138,16
andaman-&-nicobar-islands,south andaman district,2019,2,28490,102530955.7,17
andaman-&-nicobar-islands,nicobars district,2019,2,1828,9111650.824,18
andaman-&-nicobar-islands,north and middle andaman district,2019,3,4049,11481466.28,19
andaman-&-nicobar-islands,south andaman district,2019,3,27421,91023888.33,20
andaman-&-nicobar-islands,nicobars district,2019,3,2300,11566421.48,21
andaman-&-nicobar-islands,north and middle andaman district,2019,4,4716,13524056.78,22
andaman-&-nicobar-islands,south andaman district,2019,4,27843,110930312.2,23
andaman-&-nicobar-islands,nicobars district,2019,4,2600,12384161.53,24
andaman-&-nicobar-islands,north and middle andaman district,2020,1,5674,14697371.62,25
andaman-&-nicobar-islands,south andaman district,2020,1,32713,134679396.9,26
andaman-&-nicobar-islands,nicobars district,2020,1,2911,12099543.77,27
andaman-&-nicobar-islands,north and middle andaman district,2020,2,10979,22447714.06,28
andaman-&-nicobar-islands,south andaman district,2020,2,48088,132855778.7,29
andaman-&-nicobar-islands,nicobars district,2020,2,3895,14341508.6,30
andaman-&-nicobar-islands,north and middle andaman district,2020,3,16747,33486883.37,31
andaman-&-nicobar-islands,south andaman district,2020,3,95323,282366109.2,32
andaman-&-nicobar-islands,nicobars district,2020,3,5413,22166453.75,33
andaman-&-nicobar-islands,north and middle andaman district,2020,4,29349,68941322.39,34
andaman-&-nicobar-islands,south andaman district,2020,4,186494,523122462.9,35
andaman-&-nicobar-islands,nicobars district,2020,4,8688,35218871.04,36
andaman-&-nicobar-islands,north and middle andaman district,2021,1,27358,75027255.28,37
andaman-&-nicobar-islands,south andaman district,2021,1,207092,669604045.1,38
andaman-&-nicobar-islands,nicobars district,2021,1,10302,39075266.99,39
andaman-&-nicobar-islands,north and middle andaman district,2021,2,39200,90233388.79,40
andaman-&-nicobar-islands,south andaman district,2021,2,286907,760893020.6,41
andaman-&-nicobar-islands,nicobars district,2021,2,15307,48020606.75,42
andaman-&-nicobar-islands,north and middle andaman district,2021,3,46592,118254865.8,43
andaman-&-nicobar-islands,south andaman district,2021,3,382418,1116789011,44
andaman-&-nicobar-islands,nicobars district,2021,3,20754,74980519.33,45
andaman-&-nicobar-islands,north and middle andaman district,2021,4,53115,156486112.3,46
andaman-&-nicobar-islands,south andaman district,2021,4,558571,1694794708,47
andaman-&-nicobar-islands,nicobars district,2021,4,24437,81329281.03,48
andaman-&-nicobar-islands,north and middle andaman district,2022,1,60059,161624878.5,49
andaman-&-nicobar-islands,south andaman district,2022,1,705512,1872991196,50
andaman-&-nicobar-islands,nicobars district,2022,1,29177,94414127.65,51
andaman-&-nicobar-islands,north and middle andaman district,2022,2,72573,195693167.8,52
andaman-&-nicobar-islands,south andaman district,2022,2,954875,2357326563,53
andaman-&-nicobar-islands,nicobars district,2022,2,43769,132900618.9,54
andaman-&-nicobar-islands,north and middle andaman district,2022,3,79574,211581970.3,55
andaman-&-nicobar-islands,south andaman district,2022,3,1455255,2967719401,56
andaman-&-nicobar-islands,nicobars district,2022,3,49550,131330400.9,57
andaman-&-nicobar-islands,north and middle andaman district,2022,4,93297,241431284.4,58
andaman-&-nicobar-islands,south andaman district,2022,4,1835592,3600887266,59
andaman-&-nicobar-islands,nicobars district,2022,4,58646,142355854,60
andhra-pradesh,east godavari district,2018,1,943935,1235785516,61
andhra-pradesh,srikakulam district,2018,1,458921,587778028.9,62
andhra-pradesh,spsr nellore district,2018,1,531612,676643237.8,63
andhra-pradesh,vizianagaram district,2018,1,420990,505783445.8,64
andhra-pradesh,visakhapatnam district,2018,1,1256469,1749966197,65
andhra-pradesh,prakasam district,2018,1,534757,748990775.9,66
andhra-pradesh,anantapur district,2018,1,638664,788830646,67
andhra-pradesh,ysr district,2018,1,487333,681481931.1,68
andhra-pradesh,west godavari district,2018,1,577090,853547668.8,69
andhra-pradesh,kurnool district,2018,1,679623,764905298.7,70
andhra-pradesh,chittoor district,2018,1,830324,1009621878,71
andhra-pradesh,guntur district,2018,1,815932,1108686589,72
andhra-pradesh,krishna district,2018,1,863935,1284255180,73
andhra-pradesh,east godavari district,2018,2,1221677,2168914928,74
andhra-pradesh,srikakulam district,2018,2,559868,929392017.4,75
andhra-pradesh,spsr nellore district,2018,2,780454,1542057934,76
andhra-pradesh,vizianagaram district,2018,2,529588,811711367.5,77
andhra-pradesh,visakhapatnam district,2018,2,1641192,2987853607,78
andhra-pradesh,prakasam district,2018,2,739991,1571167562,79
andhra-pradesh,anantapur district,2018,2,937023,1690366079,80
andhra-pradesh,ysr district,2018,2,690842,1415500368,81
andhra-pradesh,west godavari district,2018,2,786033,1688025212,82
andhra-pradesh,kurnool district,2018,2,968439,1531888666,83
andhra-pradesh,chittoor district,2018,2,1185723,1990419126,84
andhra-pradesh,guntur district,2018,2,1088101,2108475812,85
andhra-pradesh,krishna district,2018,2,1224987,2448141593,86
andhra-pradesh,east godavari district,2018,3,3226907,3551247095,87
andhra-pradesh,srikakulam district,2018,3,1073883,1318322237,88
andhra-pradesh,spsr nellore district,2018,3,1308890,2215938596,89
andhra-pradesh,vizianagaram district,2018,3,970132,1163546007,90
andhra-pradesh,visakhapatnam district,2018,3,3394576,4821892253,91
andhra-pradesh,prakasam district,2018,3,1319651,2346453445,92
andhra-pradesh,anantapur district,2018,3,1815215,2681787750,93
andhra-pradesh,ysr district,2018,3,1557444,2235904512,94
andhra-pradesh,west godavari district,2018,3,1431282,2309078493,95
andhra-pradesh,kurnool district,2018,3,2921189,2908389262,96
andhra-pradesh,chittoor district,2018,3,2297429,3283517631,97
andhra-pradesh,guntur district,2018,3,1912529,3127764663,98
andhra-pradesh,krishna district,2018,3,2396934,3754202654,99
andhra-pradesh,east godavari district,2018,4,3052762,4652624623,100
andhra-pradesh,srikakulam district,2018,4,1252807,1870278610,101
andhra-pradesh,spsr nellore district,2018,4,1814997,3293448557,102
andhra-pradesh,vizianagaram district,2018,4,1386787,1817673253,103
andhra-pradesh,visakhapatnam district,2018,4,4791421,7366635865,104
andhra-pradesh,prakasam district,2018,4,1692862,3255254226,105
andhra-pradesh,anantapur district,2018,4,2286391,3975878156,106
andhra-pradesh,ysr district,2018,4,1732527,3252340063,107
andhra-pradesh,west godavari district,2018,4,1688482,3237504255,108
andhra-pradesh,kurnool district,2018,4,2508530,3626544852,109
andhra-pradesh,chittoor district,2018,4,3166201,4979093890,110
andhra-pradesh,guntur district,2018,4,2546620,4730251218,111
andhra-pradesh,krishna district,2018,4,2839161,5416251838,112
andhra-pradesh,east godavari district,2019,1,5440146,7382264725,113
andhra-pradesh,srikakulam district,2019,1,2526855,3407912878,114
andhra-pradesh,spsr nellore district,2019,1,3333584,5161932216,115
andhra-pradesh,vizianagaram district,2019,1,2798241,3364576948,116
andhra-pradesh,visakhapatnam district,2019,1,9690866,13459857441,117
andhra-pradesh,prakasam district,2019,1,2931081,4807527779,118
andhra-pradesh,anantapur district,2019,1,3891336,6044730653,119
andhra-pradesh,ysr district,2019,1,2852197,4915811594,120
andhra-pradesh,west godavari district,2019,1,2829437,4623764455,121
